Epoch	Time(sec)	Loss_train	AUC_dev	AUC_test	Precision_test	Recall_test
1	10.365860800000519	55.711536	0.4375	0.7916666666666666	0.6	1.0
2	22.17764140000145	55.13096	0.875	1.0	0.6	1.0
3	33.73716350000177	54.846474	1.0	1.0	0.6	1.0
4	44.72992069999964	53.87035	1.0	0.9166666666666666	0.6	1.0
5	54.43554330000188	48.022297	1.0	0.875	0.6666666666666666	1.0
6	64.84329580000121	21.104927	0.875	0.5416666666666667	0.6666666666666666	1.0
7	80.14837650000118	14.607206	0.9375	0.75	0.8	0.6666666666666666
8	95.37381070000265	2.6035216	1.0	0.7083333333333333	0.8	0.6666666666666666
9	108.47473970000283	0.9377292	1.0	0.8333333333333334	0.8	0.6666666666666666
10	118.40686900000219	0.6102866	1.0	0.8333333333333334	0.8	0.6666666666666666
11	127.82329279999976	0.4839958	1.0	0.7916666666666667	0.8	0.6666666666666666
12	137.07673670000077	0.38919517	1.0	0.7916666666666667	0.8	0.6666666666666666
13	146.91573840000274	0.310772	1.0	0.7916666666666667	0.8	0.6666666666666666
14	156.58962240000255	0.25022063	1.0	0.7916666666666667	0.8	0.6666666666666666
15	166.3799558999999	0.20231687	1.0	0.7916666666666667	0.8	0.6666666666666666
16	177.06767670000045	0.1675436	1.0	0.7916666666666667	0.8	0.6666666666666666
17	189.77063350000026	0.13661762	1.0	0.7916666666666667	0.8	0.6666666666666666
